time,data,median,LB,UB
8,24,24,24,24
9,28,14.0384359135113,0,74.1319175144771
10,50,20.2058840434903,0,81.8846615766323
11,53,30.547170220109,0,94.370390904842
12,61,43.0318257147797,0,109.77723426144
13,84,58.714318970594,0,126.928171850095
14,106,78.3411950806526,16.2071445762049,149.679399231084
15,94,101.863136133753,40.07599205185,175.68201357637
16,127,129.605626375812,66.2735454904566,200.897972357357
17,152,160.272830316278,98.0633605760751,228.70871471447
18,180,193.567526688428,130.295254004012,259.678892787968
19,211,227.377060931449,164.953831311722,289.75563302546
20,243,258.203640441821,190.850594516772,321.10119347991
21,257,284.033879260826,210.803606931127,349.03166686831
22,337,303.166435670882,226.958326380386,369.835791174854
23,359,312.545631535886,238.464254498202,377.842661363886
24,354,312.608608161632,242.283033610667,376.87502505658
25,292,302.709153457835,238.866248666413,367.435546160157
26,238,286.064502741364,221.731724871678,360.073327014704
27,261,263.724405411975,191.339520948383,356.828325315388
28,220,237.999609478164,156.705653002282,352.816817250732
29,206,209.108495377935,122.762787435701,346.709127059505
30,199,180.841997632254,92.4370263330693,339.97017472855
31,170,154.312119532925,64.9657687940084,330.62691680824
