time,data,median,LB,UB
4,13,13,13,13
5,12,6.88454260755429,0,30.2675282704478
6,22,9.97317235498473,0,33.6235109463569
7,21,13.6556903181969,0,37.1164129348223
8,24,18.3612256679856,0,42.3024616883077
9,28,25.1417707702765,0.626999876871537,48.6785877724944
10,50,33.1506359481822,8.77830830432341,57.2700369557885
11,53,43.0129413446164,18.1508247935936,67.3102406228985
12,61,55.1232190645036,29.5397267392331,79.2239695192668
13,84,69.886555180787,44.3053162910251,95.1234105879089
14,106,86.9747447765599,60.9178984664013,111.630613370618
15,94,106.514174643445,80.8835262161639,131.599656520082
16,127,129.075996402647,103.172251427319,154.169763060968
17,152,154.461990844726,128.959841413134,179.291268087375
18,180,182.722698911892,157.412906041228,208.196408077913
19,211,213.382713333689,188.131564218026,238.721944947517
20,243,246.360581509043,220.898712324009,272.189381428204
21,257,281.132391829375,256.017144380637,306.952767139261
22,337,317.311382304238,290.595789079539,344.598071964557
23,359,354.610411089567,325.521457208643,384.474877474788
24,354,392.563115661791,356.283705348057,427.505980318738
25,292,430.656242675213,379.377771512307,472.286372488976
26,238,467.983199938108,395.365150903071,520.109474832981
27,261,504.513740936991,402.842290781745,569.883421336588
