time,data,median,LB,UB
4,13,13,13,13
5,12,6.92885199070098,0,30.2437228160159
6,22,10.052378912511,0,33.6731273579128
7,21,13.7817047808465,0,37.1670741165036
8,24,18.565123780583,0,42.40789076535
9,28,25.3505429167171,0.853809281219544,48.8111534960211
10,50,33.4128449295667,9.04611679041348,57.4591596723754
11,53,43.336230962404,18.5560033752846,67.5459254487967
12,61,55.4576583554243,29.8562522950419,79.5278804555063
13,84,70.2219958985029,44.569616137837,95.5357031875902
14,106,87.2910327513706,61.2078761070113,111.971291673481
15,94,106.81435139365,81.2240535362177,131.752496325014
16,127,129.352293469463,103.782168937325,154.459062837338
17,152,154.784861542997,129.369069627628,179.669088470049
18,180,183.025704279006,157.723253755267,208.571336342949
19,211,213.573589171844,188.324380270954,238.847231456594
20,243,246.448645211797,221.092042555349,272.168993833031
21,257,281.035631400015,255.992330203501,306.807326033892
22,337,317.012673892979,290.372072256572,344.351624696622
23,359,353.799250958379,324.930310992934,383.846483636892
24,354,391.385854624128,354.81987623539,426.501381076633
25,292,428.467698364576,377.269726541271,471.194894759393
26,238,464.996529896011,392.1030341085,518.848590917963
27,261,499.859310616825,399.41129323518,567.775606579282
