time,data,median,LB,UB
12,61,61,61,61
13,84,44.9594390358359,0,100.542189028783
14,106,66.8940838914134,10.8862053278113,122.638577150409
15,94,92.9035014113806,35.1955321382525,149.786115743147
16,127,122.856861577889,63.7894026222187,181.832454443105
17,152,157.256099738534,97.8014011543212,214.576845642437
18,180,193.81728628158,133.994177128502,252.259553487993
19,211,228.722435337698,169.896281305983,288.602410055596
20,243,261.250375653724,201.847894503975,321.483436457895
21,257,288.307907260863,229.533959532911,347.075192956196
22,337,306.720654107791,247.432268480428,365.709350675657
23,359,316.037573431468,257.6502445403,377.956244392077
24,354,314.577991525545,254.636699066687,374.187414542501
25,292,305.754047463598,243.994245678988,364.285185720225
26,238,288.066445171219,228.674429923931,346.630988748777
27,261,264.093727658992,203.790643448952,323.965175241826
28,220,238.111881979575,179.705430773095,297.070515642559
29,206,211.338857946485,152.128747785897,271.767457922661
30,199,183.128192889442,123.333807580214,243.748157881024
31,170,156.903467869068,97.6773650077832,215.894041889839
32,175,133.447756216861,72.9709174412417,195.108740353636
33,146,111.924333541544,50.1519927790367,170.252484533919
34,163,94.330304272122,32.2614826922633,155.948850143943
35,156,77.7227520114272,17.5326784409317,137.228683867626
