time,data,median,LB,UB
8,24,24,24,24
9,28,13.9861251199268,0,74.0572281621535
10,50,20.1262692672707,0,81.7743010616917
11,53,30.4524318026572,0,94.1200664583247
12,61,42.8239136850483,0,109.617765132109
13,84,58.4781333392782,0,126.784597331557
14,106,78.127815987756,15.6103257930894,149.386896827667
15,94,101.584172790409,39.7603817077425,175.300984450996
16,127,129.405475502095,66.0096066549661,200.710892301136
17,152,160.130238925058,97.7384939756448,228.528103283176
18,180,193.493309387218,130.133730176131,259.648545146197
19,211,227.432056463712,164.962866578181,289.805756011058
20,243,258.358103324284,190.989635787722,321.321645339143
21,257,284.309247456886,210.972460750479,349.293722637079
22,337,303.435540463635,227.304259458159,370.174330447198
23,359,312.758064153269,238.745866105361,378.002315634369
24,354,312.735231542364,242.380423066325,377.053317797991
25,292,302.745479776886,238.974968627359,367.4659588343
26,238,285.916534332107,221.583926698806,359.992519637565
27,261,263.531961051511,191.100979764344,356.441909628543
28,220,237.624752257217,156.558616418122,352.450878786973
29,206,208.725645354817,122.409447598573,346.464229685269
30,199,180.506015944905,92.0148954070463,339.547688055712
31,170,153.962179470902,64.4085294217941,330.033874394573
