time,data,median,LB,UB
4,13,13,13,13
5,12,6.47928418704122,0,31.5245991813215
6,22,9.36803857482159,0,33.4340569139056
7,21,12.433451732573,0,37.5123908598303
8,24,16.8905731586817,0,41.8642429263453
9,28,22.7362649062341,0,48.2666698338098
10,50,30.3907817718723,5.55117042777019,55.8681507414997
11,53,40.4165221363965,14.0438564150202,65.6579061424577
12,61,51.6983463553779,25.894792296719,77.6905610808839
13,84,66.4589217506247,40.3246220641826,92.9107567992785
14,106,83.7325048619777,56.5165195467841,109.611117762808
15,94,103.402105095101,76.9147548796128,129.996308653871
16,127,126.264916378986,99.8210523394617,152.887102330287
17,152,152.205255522591,125.88986087821,178.771348815557
18,180,181.531820097098,154.401429777456,207.923801953842
19,211,213.086322360547,186.52657219591,240.040736339375
20,243,246.591670416839,219.608573029356,274.68729910969
21,257,282.577213972131,255.315475270047,309.251372737699
22,337,319.320710404141,291.354218241198,347.315676975226
23,359,357.352714070749,326.930277048324,387.684287615964
24,354,396.071590556809,358.148229057826,430.719037628077
25,292,434.16827651197,376.055842416879,475.200652262298
26,238,471.959656873349,386.718194798115,520.491261902578
27,261,508.825223682452,390.054461356356,566.782473882419
