time,data,median,LB,UB
8,24,24,24,24
9,28,18.0172567058633,0,85.685361200648
10,50,27.6722005520428,0,95.3848221886731
11,53,42.0820855268719,0,111.701919474098
12,61,58.2800440502207,0,125.880360544871
13,84,76.3921214058111,7.59942844192153,146.463695122057
14,106,99.186741345352,27.4306318124649,169.025231468116
15,94,124.83564733575,51.3955943822583,193.603054906864
16,127,149.172587490709,75.3387102894747,221.613965483119
17,152,175.168490344866,105.522505362835,245.943772597392
18,180,200.12107836001,128.415701595883,271.998600559513
19,211,224.154215380401,155.193384770171,297.131426270563
20,243,245.409157701786,172.831200636992,316.559253227975
21,257,262.160674905575,192.990030916496,331.885130447051
22,337,278.503949641721,208.310786391213,350.816684807135
23,359,289.871092336973,218.873347258613,361.71938226339
24,354,297.441967051211,224.875770703586,370.673953154709
25,292,300.303135455842,227.112692171991,375.261096146645
26,238,303.103632272287,225.951747548803,376.883714726374
27,261,300.858446489973,219.414183596844,379.45531437327
28,220,295.572662341491,217.015312470635,375.496964983964
29,206,288.30747266323,206.216068450225,371.637110291102
30,199,278.596225464629,194.759177930019,362.673796842539
31,170,268.927496236885,183.291974703577,359.646677043034
