time,data,median,LB,UB
4,13,13,13,13
5,12,6.91859930820097,0,30.2525192071015
6,22,10.0362877006347,0,33.6535337358503
7,21,13.7515401635375,0,37.1584747179426
8,24,18.490502874844,0,42.3853231728894
9,28,25.2970361004096,0.76480856113303,48.7730620543303
10,50,33.3255302129877,8.99166209699201,57.4128211111388
11,53,43.249789422655,18.3676955345133,67.4972532017043
12,61,55.3706190074253,29.7990193784227,79.4169162400684
13,84,70.1209516946882,44.515594262988,95.4752869464302
14,106,87.2082425990295,61.0606214256745,111.872785222555
15,94,106.718615983961,81.1343934599103,131.71255976572
16,127,129.273998148269,103.599023513134,154.312920464695
17,152,154.68180054753,129.224405704366,179.57909684479
18,180,182.938764020771,157.611683951046,208.496560063064
19,211,213.526868839851,188.258765501154,238.799054426021
20,243,246.416933698357,221.046673839192,272.168993833031
21,257,281.056874180539,255.999126451559,306.84736817971
22,337,317.10706355382,290.410332986854,344.411738381445
23,359,354.078637357478,325.140770900311,383.981734873683
24,354,391.748036323026,355.342968210629,426.798085694469
25,292,429.159342080266,377.855389358939,471.583821950901
26,238,466.036543677135,392.554048355928,519.25524468498
27,261,501.366459415485,399.988571011493,568.618659340971
