time,data,median,LB,UB
0,8,8,8,8
1,9,3.83482513611869,0,18.008959405513
2,7,5.34795616424428,0,19.5360879067159
3,16,7.29420114463791,0,21.2092685173754
4,13,10.0632101212451,0,24.0111872028343
5,12,12.9329067432058,0,27.3296791092842
6,22,16.7210176073277,2.46012524388339,30.8018407530108
7,21,21.5049033325727,7.51683709247532,35.9410602655803
8,24,27.548570919741,12.9733531111892,41.455910321058
9,28,34.6462333074185,20.677396508059,48.6612513492405
10,50,43.0713001683502,29.0123241710454,57.602987622035
11,53,53.036154747799,38.6673135422564,67.2422273029994
12,61,64.9346666214348,50.3561286659211,79.2788181105918
13,84,78.5521441551638,63.5389784183199,93.5368606884851
14,106,94.4243996794951,79.5342216687347,108.930505206877
15,94,112.130710682059,97.4766626914301,126.915352085525
16,127,132.393781568527,117.651809590715,147.041097572883
17,152,154.197621440267,138.872455646494,169.305739019279
18,180,178.410362618709,162.995301382674,194.265357380097
19,211,204.277274244628,186.840305111289,220.791537529988
20,243,231.734850312817,209.732412980352,250.975631101468
21,257,261.085548111567,228.339756321251,283.865311580046
22,337,291.230815444962,242.525038147127,318.544342335531
23,359,322.213021514611,250.96828914438,353.813769406958
