time,data,median,LB,UB
12,61,61,61,61
13,84,38.9408380935322,0,96.4133621820453
14,106,58.655313233817,0,115.482438128145
15,94,83.9108187262432,25.7184923790457,140.720999904365
16,127,115.99474395233,56.0515605493614,176.081212395639
17,152,152.74804195272,91.897475883481,211.262462645325
18,180,192.721051450061,130.301452776873,253.827855987434
19,211,229.254608074233,168.065855751226,291.887120031114
20,243,265.437434116922,202.254573086994,327.922272451626
21,257,292.802918370571,228.56639169274,354.994115339494
22,337,310.391045006863,249.089163748448,372.411375769575
23,359,318.356657543315,255.125299601672,380.323790271729
24,354,316.261201950454,254.78331868005,377.880707687065
25,292,304.158086095257,242.072382220082,365.202115234952
26,238,285.005961176623,224.949481812566,344.863331257677
27,261,262.917540496236,201.59584197188,323.909924266478
28,220,235.423124653145,176.106291174082,297.571898975188
29,206,209.651258615948,147.49421587653,272.598798528114
30,199,182.060476710204,118.431925554247,247.267495776112
31,170,159.384960348376,94.1825597364689,222.991364567723
32,175,135.933400946053,72.0272397305892,201.181282653872
33,146,115.032471568009,53.4299531965267,177.393190747922
34,163,97.049362134338,32.9847417036897,159.9821105211
35,156,81.3734611391323,17.5366569803557,146.369135751385
