time,data,median,LB,UB
12,61,61,61,61
13,84,41.9345728421964,0,107.213650013871
14,106,61.9717289498148,0,128.166552258699
15,94,87.536781699044,12.3874175819081,152.323866571502
16,127,117.899665751246,38.5788013715793,182.51952990537
17,152,152.638029341728,64.0230782751638,215.081195011451
18,180,189.782345601564,88.6692156775942,253.797752197232
19,211,225.183319196323,115.42620391844,290.413305843436
20,243,258.906833791485,137.980125621394,323.544008942217
21,257,285.858697707112,159.846991922303,350.361982413821
22,337,303.980372827868,181.052218811885,368.731857302363
23,359,312.882832699136,196.122010043027,378.523539844283
24,354,311.81933059185,209.077951471773,376.735803284357
25,292,302.49432660483,216.057267014428,367.171701225355
26,238,285.927136832169,212.045898956839,352.869796251762
27,261,264.585113385702,196.912812560844,341.880157122281
28,220,239.432551964058,175.79973105353,333.021467231479
29,206,214.477638489419,150.66307332256,328.601953093144
30,199,187.468700377437,122.195458066844,320.537460893498
31,170,163.351605264337,97.4714317057042,313.74380061962
32,175,140.255983581089,74.384461326037,303.805434507649
33,146,119.192220566719,53.728053387673,295.711642709421
34,163,101.361360770502,34.7817977084292,283.596854232241
35,156,85.1599797485943,19.210458423161,270.024523312936
