time,data,median,LB,UB
4,13,13,13,13
5,12,7.28670229057899,0,29.9639626602702
6,22,10.6948333258582,0,33.9329796242609
7,21,14.7392093082902,0,37.8161276537685
8,24,20.2873194101948,0,43.3596447112773
9,28,27.0890736808434,4.55548593698462,49.8426498167256
10,50,35.4861641368983,12.6502935056257,59.219098694866
11,53,45.7491580262281,22.2769948186472,69.3361088541875
12,61,58.2469031410248,34.4268013852344,81.4543489331795
13,84,73.2718806900332,48.5541076338734,97.615532428485
14,106,89.9132316077415,65.8262835270676,114.31428812645
15,94,109.707966141299,85.9150243687006,133.319167967665
16,127,132.121219316573,108.437580891764,156.3452326285
17,152,157.1751659463,133.147814358919,181.69216207064
18,180,185.13432182514,161.034798916773,210.235534146047
19,211,215.35849273777,190.68887424723,239.978793736965
20,243,247.200901986213,222.851692218705,271.888635841706
21,257,280.440955935354,255.711766671651,304.687461676
22,337,314.530631680709,288.3130243621,340.60756101224
23,359,348.46049969167,321.600155207263,375.903637106375
24,354,381.601158199669,348.465047467548,412.26287963331
25,292,413.20118191357,367.431203754999,447.294531242674
26,238,443.444511832707,374.50141942777,483.153368500525
27,261,470.179211767634,379.603734082589,514.538676514685
