time,data,median,LB,UB
4,13,13,13,13
5,12,6.90998769955072,0,29.5371300302384
6,22,9.9578759104564,0,33.8375230743109
7,21,13.7782028333034,0,35.8875651821362
8,24,18.4051196106605,0,41.7637332508251
9,28,25.5923806548565,1.93441938932602,48.0776085227625
10,50,33.566383309362,10.7384251903203,56.9388353233496
11,53,43.4507862336877,20.4252588190432,67.0037913139693
12,61,55.7287836531708,32.4593940167087,78.2101917029018
13,84,70.3432145314028,47.1328625438298,94.3771732721566
14,106,87.3492566062968,63.271265283668,111.072170554951
15,94,106.943127920419,82.2996712202862,130.961833011442
16,127,129.221483972185,104.552915985021,153.32444462228
17,152,154.313064535768,130.296676338018,177.664514520759
18,180,182.046534060537,158.699500798297,206.114539022211
19,211,212.434472004439,188.463005459217,236.886604308054
20,243,245.603609599828,220.895117301226,270.052408498178
21,257,280.627961680653,256.646148930764,305.786937754281
22,337,317.680409098898,292.505684088461,343.653819088603
23,359,356.589898480373,329.153960908758,384.491464081141
24,354,396.720570278789,365.62149969281,428.762101229162
25,292,438.108334020168,400.262731224809,475.337473311492
26,238,479.782879561032,434.710213721547,525.102274348013
27,261,521.839824411531,465.949182099503,576.956432761723
